Study,Year,PDF link,PDF path,Arm / test,TP,FN,FP,TN,N positive,N negative,Sensitivity,Specificity,AUC (raw),Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Threshold,Source sheet,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,N_pos_calc,N_neg_calc,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,ai_class
Szanto (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Szanto (2025).pdf,04_fulltext/pdfs/Szanto (2025).pdf,ResNet-3D-18 Model A (entire unmasked OCT volume) — glaucoma vs non-glaucoma,1675,164,56,5119,1839,5175,0.911,0.989,0.988,image,OCT,clinical diagnosis from source studies/clinics,North America,internal,cross-sectional,unclear,any,any,n/r,n/r,ResNet-3D-18 Model A (entire unmasked OCT volume) — glaucoma vs non-glaucoma,n/r,claude_opus_v4,0.9108,0.8969,0.9230,0.9892,0.9860,0.9917,1839,5175,2025+,very large,non-Asia,internal,other,unclear,deep learning
Szanto (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Szanto (2025).pdf,04_fulltext/pdfs/Szanto (2025).pdf,"ResNet-3D-18 Model B (peripapillary region only, ONH masked) — glaucoma vs non-glaucoma",1592,247,93,5082,1839,5175,0.866,0.982,0.984,image,OCT,clinical diagnosis from source studies/clinics,North America,internal,cross-sectional,unclear,any,any,n/r,n/r,"ResNet-3D-18 Model B (peripapillary region only, ONH masked) — glaucoma vs non-glaucoma",n/r,claude_opus_v4,0.8657,0.8493,0.8805,0.9820,0.9780,0.9853,1839,5175,2025+,very large,non-Asia,internal,other,unclear,deep learning
Szanto (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Szanto (2025).pdf,04_fulltext/pdfs/Szanto (2025).pdf,"ResNet-3D-18 Model C (ONH only, PPR masked) — glaucoma vs non-glaucoma",1674,165,63,5112,1839,5175,0.910,0.988,0.988,image,OCT,clinical diagnosis from source studies/clinics,North America,internal,cross-sectional,unclear,any,any,n/r,n/r,"ResNet-3D-18 Model C (ONH only, PPR masked) — glaucoma vs non-glaucoma",n/r,claude_opus_v4,0.9103,0.8963,0.9225,0.9878,0.9845,0.9905,1839,5175,2025+,very large,non-Asia,internal,other,unclear,deep learning
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,Univariate + KNN (DRIONS-DB),24,1,4,81,25,85,0.95,0.95,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,Univariate + KNN (DRIONS-DB),n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9529,0.8852,0.9815,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,Univariate + Random Forest (DRIONS-DB),24,1,6,79,25,85,0.95,0.93,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,Univariate + Random Forest (DRIONS-DB),n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9294,0.8544,0.9672,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,Univariate + Decision Tree (DRIONS-DB),22,3,8,77,25,85,0.86,0.91,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,Univariate + Decision Tree (DRIONS-DB),n/r,claude_opus_v4,0.8800,0.7004,0.9583,0.9059,0.8251,0.9515,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,Univariate + SVM (DRIONS-DB),24,1,8,77,25,85,0.95,0.90,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,Univariate + SVM (DRIONS-DB),n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9059,0.8251,0.9515,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,CPSO + Univariate + KNN (DRIONS-DB),24,1,3,82,25,85,0.97,0.96,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,CPSO + Univariate + KNN (DRIONS-DB),n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9647,0.9013,0.9879,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,CPSO + Univariate + Random Forest (DRIONS-DB),24,1,6,79,25,85,0.97,0.93,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,CPSO + Univariate + Random Forest (DRIONS-DB),n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9294,0.8544,0.9672,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,CPSO + Univariate + Decision Tree (DRIONS-DB),22,3,7,78,25,85,0.89,0.92,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,CPSO + Univariate + Decision Tree (DRIONS-DB),n/r,claude_opus_v4,0.8800,0.7004,0.9583,0.9176,0.8396,0.9595,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,CPSO + Univariate + SVM (DRIONS-DB),24,1,8,77,25,85,0.97,0.90,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,CPSO + Univariate + SVM (DRIONS-DB),n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9059,0.8251,0.9515,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,Feature Importance + KNN (DRIONS-DB),23,2,8,77,25,85,0.92,0.90,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,Feature Importance + KNN (DRIONS-DB),n/r,claude_opus_v4,0.9200,0.7503,0.9778,0.9059,0.8251,0.9515,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,Feature Importance + Random Forest (DRIONS-DB),23,2,8,77,25,85,0.90,0.91,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,Feature Importance + Random Forest (DRIONS-DB),n/r,claude_opus_v4,0.9200,0.7503,0.9778,0.9059,0.8251,0.9515,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,Feature Importance + Decision Tree (DRIONS-DB),17,8,8,77,25,85,0.68,0.90,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,Feature Importance + Decision Tree (DRIONS-DB),n/r,claude_opus_v4,0.6800,0.4841,0.8279,0.9059,0.8251,0.9515,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,Feature Importance + SVM (DRIONS-DB),18,7,25,60,25,85,0.70,0.70,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,Feature Importance + SVM (DRIONS-DB),n/r,claude_opus_v4,0.7200,0.5242,0.8572,0.7059,0.6018,0.7921,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,CPSO + Feature Importance + KNN (DRIONS-DB),24,1,6,79,25,85,0.94,0.93,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,CPSO + Feature Importance + KNN (DRIONS-DB),n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9294,0.8544,0.9672,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,CPSO + Feature Importance + Random Forest (DRIONS-DB),24,1,6,79,25,85,0.97,0.93,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,CPSO + Feature Importance + Random Forest (DRIONS-DB),n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9294,0.8544,0.9672,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,CPSO + Feature Importance + Decision Tree (DRIONS-DB),21,4,7,78,25,85,0.85,0.92,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,CPSO + Feature Importance + Decision Tree (DRIONS-DB),n/r,claude_opus_v4,0.8400,0.6535,0.9360,0.9176,0.8396,0.9595,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,CPSO + Feature Importance + SVM (DRIONS-DB),24,1,8,77,25,85,0.97,0.90,n/r,image,fundus,DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,Europe,internal,retrospective,no,any,any,n/r,n/r,CPSO + Feature Importance + SVM (DRIONS-DB),n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9059,0.8251,0.9515,25,85,2020-24,small,non-Asia,internal,multimodal_objective,unclear,classical ML
Upadhyaya (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Upadhyaya (2025).pdf,04_fulltext/pdfs/Upadhyaya (2025).pdf,Medios AI vs tele-ophthalmologist (Conservative criterion: Normal+Disc Suspect grouped vs Referable Glaucoma),20,2,19,258,22,277,0.91,0.93,n/r,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Medios AI vs tele-ophthalmologist (Conservative criterion: Normal+Disc Suspect grouped vs Referable Glaucoma),n/r,claude_opus_v4,0.9091,0.7219,0.9747,0.9314,0.8954,0.9557,22,277,2025+,medium,mixed,internal,expert_clinical,unclear,human reader
Upadhyaya (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Upadhyaya (2025).pdf,04_fulltext/pdfs/Upadhyaya (2025).pdf,Medios AI vs tele-ophthalmologist (Liberal criterion: Disc Suspect+Referable Glaucoma grouped vs Normal),60,22,3,214,82,217,0.73,0.99,n/r,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Medios AI vs tele-ophthalmologist (Liberal criterion: Disc Suspect+Referable Glaucoma grouped vs Normal),n/r,claude_opus_v4,0.7317,0.6270,0.8156,0.9862,0.9601,0.9953,82,217,2025+,medium,mixed,internal,expert_clinical,unclear,human reader
Medeiros (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Medeiros (2019).pdf,04_fulltext/pdfs/Medeiros (2019).pdf,Deep learning algorithm on optic disc photographs (Spec fixed at 95%),130,41,6,122,171,128,0.76,0.95,0.944,image,fundus,"Glaucoma defined by repeatable SAP visual field loss plus glaucomatous optic neuropathy on slit-lamp fundus examination; healthy controls had normal optic discs, no elevated IOP history, and normal SAP",North America,internal,cross-sectional,yes,glaucomatous optic neuropathy,any,n/r,n/r,Deep learning algorithm on optic disc photographs (Spec fixed at 95%),n/r,claude_opus_v4,0.7602,0.6910,0.8181,0.9531,0.9015,0.9783,171,128,2015-19,medium,non-Asia,internal,other,unclear,deep learning
Medeiros (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Medeiros (2019).pdf,04_fulltext/pdfs/Medeiros (2019).pdf,Deep learning algorithm on optic disc photographs (Spec fixed at 80%),154,17,26,102,171,128,0.90,0.80,0.944,image,fundus,"Glaucoma defined by repeatable SAP visual field loss plus glaucomatous optic neuropathy on slit-lamp fundus examination; healthy controls had normal optic discs, no elevated IOP history, and normal SAP",North America,internal,cross-sectional,yes,glaucomatous optic neuropathy,any,n/r,n/r,Deep learning algorithm on optic disc photographs (Spec fixed at 80%),n/r,claude_opus_v4,0.9006,0.8466,0.9370,0.7969,0.7190,0.8574,171,128,2015-19,medium,non-Asia,internal,other,unclear,deep learning
Medeiros (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Medeiros (2019).pdf,04_fulltext/pdfs/Medeiros (2019).pdf,SD OCT actual average RNFL thickness (Spec fixed at 95%),125,46,6,122,171,128,0.73,0.95,0.940,image,fundus,"Glaucoma defined by repeatable SAP visual field loss plus glaucomatous optic neuropathy on slit-lamp fundus examination; healthy controls had normal optic discs, no elevated IOP history, and normal SAP",North America,internal,cross-sectional,yes,glaucomatous optic neuropathy,any,n/r,n/r,SD OCT actual average RNFL thickness (Spec fixed at 95%),n/r,claude_opus_v4,0.7310,0.6600,0.7918,0.9531,0.9015,0.9783,171,128,2015-19,medium,non-Asia,internal,other,unclear,deep learning
Medeiros (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Medeiros (2019).pdf,04_fulltext/pdfs/Medeiros (2019).pdf,SD OCT actual average RNFL thickness (Spec fixed at 80%),154,17,26,102,171,128,0.90,0.80,0.940,image,fundus,"Glaucoma defined by repeatable SAP visual field loss plus glaucomatous optic neuropathy on slit-lamp fundus examination; healthy controls had normal optic discs, no elevated IOP history, and normal SAP",North America,internal,cross-sectional,yes,glaucomatous optic neuropathy,any,n/r,n/r,SD OCT actual average RNFL thickness (Spec fixed at 80%),n/r,claude_opus_v4,0.9006,0.8466,0.9370,0.7969,0.7190,0.8574,171,128,2015-19,medium,non-Asia,internal,other,unclear,deep learning
Haider (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Haider (2023).pdf,04_fulltext/pdfs/Haider (2023).pdf,FBSS-Net (segmentation-based glaucoma classification) — REFUGE,27,13,6,354,40,360,0.675,0.9833,n/r,image,fundus,"ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",Asia,internal,retrospective,no,any,any,n/r,n/r,FBSS-Net (segmentation-based glaucoma classification) — REFUGE,n/r,claude_opus_v4,0.6750,0.5202,0.7992,0.9833,0.9641,0.9923,40,360,2020-24,medium,Asia,internal,dataset_label,unclear,deep learning
Haider (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Haider (2023).pdf,04_fulltext/pdfs/Haider (2023).pdf,FBSS-Net (segmentation-based glaucoma classification) — Rim-One-r3,12,3,0,45,15,45,0.80,0.989,n/r,image,fundus,"ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",Asia,internal,retrospective,no,any,any,n/r,n/r,FBSS-Net (segmentation-based glaucoma classification) — Rim-One-r3,n/r,claude_opus_v4,0.8000,0.5481,0.9295,1.0000,0.9213,1.0000,15,45,2020-24,small,Asia,internal,dataset_label,unclear,deep learning
Haider (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Haider (2023).pdf,04_fulltext/pdfs/Haider (2023).pdf,SLSR-Net (segmentation-based glaucoma classification) — REFUGE,27,13,17,343,40,360,0.675,0.952,n/r,image,fundus,"ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",Asia,internal,retrospective,no,any,any,n/r,n/r,SLSR-Net (segmentation-based glaucoma classification) — REFUGE,n/r,claude_opus_v4,0.6750,0.5202,0.7992,0.9528,0.9257,0.9703,40,360,2020-24,medium,Asia,internal,dataset_label,unclear,deep learning
Haider (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Haider (2023).pdf,04_fulltext/pdfs/Haider (2023).pdf,SLSR-Net (segmentation-based glaucoma classification) — Rim-One-r3,12,3,3,42,15,45,0.785,0.934,n/r,image,fundus,"ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",Asia,internal,retrospective,no,any,any,n/r,n/r,SLSR-Net (segmentation-based glaucoma classification) — Rim-One-r3,n/r,claude_opus_v4,0.8000,0.5481,0.9295,0.9333,0.8214,0.9771,15,45,2020-24,small,Asia,internal,dataset_label,unclear,deep learning
Haider (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Haider (2023).pdf,04_fulltext/pdfs/Haider (2023).pdf,Classification with ResNet-18 — REFUGE,26,14,31,329,40,360,0.65,0.913,n/r,image,fundus,"ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",Asia,internal,retrospective,no,any,any,n/r,n/r,Classification with ResNet-18 — REFUGE,n/r,claude_opus_v4,0.6500,0.4951,0.7787,0.9139,0.8804,0.9387,40,360,2020-24,medium,Asia,internal,dataset_label,unclear,deep learning
Haider (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Haider (2023).pdf,04_fulltext/pdfs/Haider (2023).pdf,Classification with ResNet-50 — REFUGE,27,13,20,340,40,360,0.675,0.944,n/r,image,fundus,"ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",Asia,internal,retrospective,no,any,any,n/r,n/r,Classification with ResNet-50 — REFUGE,n/r,claude_opus_v4,0.6750,0.5202,0.7992,0.9444,0.9158,0.9638,40,360,2020-24,medium,Asia,internal,dataset_label,unclear,deep learning
Haider (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Haider (2023).pdf,04_fulltext/pdfs/Haider (2023).pdf,Classification with ResNet-18 — Rim-One-r3,6,9,1,44,15,45,0.428,0.978,n/r,image,fundus,"ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",Asia,internal,retrospective,no,any,any,n/r,n/r,Classification with ResNet-18 — Rim-One-r3,n/r,claude_opus_v4,0.4000,0.1982,0.6425,0.9778,0.8843,0.9961,15,45,2020-24,small,Asia,internal,dataset_label,unclear,deep learning
Haider (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Haider (2023).pdf,04_fulltext/pdfs/Haider (2023).pdf,Classification with ResNet-50 — Rim-One-r3,5,10,4,41,15,45,0.357,0.913,n/r,image,fundus,"ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",Asia,internal,retrospective,no,any,any,n/r,n/r,Classification with ResNet-50 — Rim-One-r3,n/r,claude_opus_v4,0.3333,0.1518,0.5829,0.9111,0.7927,0.9649,15,45,2020-24,small,Asia,internal,dataset_label,unclear,deep learning
Upadhyaya (2025b),2025,projects/glaucoma-dl-dta-nma/pdfs/Upadhyaya (2025b).pdf,04_fulltext/pdfs/Upadhyaya (2025b).pdf,Medios AI (Conservative criterion: Normal+Disc Suspect vs Referable Glaucoma) vs Tele-ophthalmologist,20,2,19,258,22,277,0.91,0.93,n/r,image,fundus,"Tele-ophthalmologist diagnosis from fundus images/history for full-cohort contingency tables; glaucoma specialist diagnosis using clinical examination, IOP/gonioscopy, Humphrey visual field, and OCT for referred subset",Asia,external,prospective,yes,referable,any,n/r,n/r,Medios AI (Conservative criterion: Normal+Disc Suspect vs Referable Glaucoma) vs Tele-ophthalmologist,n/r,claude_opus_v4,0.9091,0.7219,0.9747,0.9314,0.8954,0.9557,22,277,2025+,medium,Asia,external,expert_clinical,unclear,human reader
Upadhyaya (2025b),2025,projects/glaucoma-dl-dta-nma/pdfs/Upadhyaya (2025b).pdf,04_fulltext/pdfs/Upadhyaya (2025b).pdf,Medios AI (Liberal criterion: Disc Suspect+Referable Glaucoma as positive) vs Tele-ophthalmologist,60,22,3,214,82,217,0.73,0.99,n/r,image,fundus,"Tele-ophthalmologist diagnosis from fundus images/history for full-cohort contingency tables; glaucoma specialist diagnosis using clinical examination, IOP/gonioscopy, Humphrey visual field, and OCT for referred subset",Asia,external,prospective,yes,referable,any,n/r,n/r,Medios AI (Liberal criterion: Disc Suspect+Referable Glaucoma as positive) vs Tele-ophthalmologist,n/r,claude_opus_v4,0.7317,0.6270,0.8156,0.9862,0.9601,0.9953,82,217,2025+,medium,Asia,external,expert_clinical,unclear,human reader
